Program Information,Program Information,Program Information,Program Information,Program Information,Data Information,Program Info,Program Info,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Outcome Measures,Outcome Measures,Outcome Measures,Reference Information,Reference Information,Reference Information
Community Aquatic Monitoring Program (CAMP),The Community Aquatic Monitoring Program works with volunteers to monitor the health and marine productivity of CaNAda's water ecosystem,Data,North America,Government,North America,2003,Ongoing,<1000 km,"Marine, estuarine","Fish, crustaseans, aquatic plants",No,"Measure fish, inverts, and macrophytes as measures of water quality and baseline health",NA,All,Expert present,Some,All,Unknown,Unknown,Unknown,Unknown,Adults,Yes,"online datasheet, guidelines, in-person training sessions",combo,Yes,"in-person, on-site",in-person,0,Unknown,NA,http://www.glf.dfo-mpo.gc.ca/Gulf-Region/CAMP/Home,Scistarter,2012-02-21
Community Clean Water Institute ,"Community Clean Water Institute (CCWI) protects water resources and public health, identifies pollution sources, and works to prevent water pollution throughout Northern California",Data,North America,NGO,North America,2002,Ongoing,<100 km,Freshwater,Bacteria,No,NA,NA,All,Specimen collection,All,All,Unknown,Unknown,114,2007,Anyone interested,Yes,in-person,in-person,No,NA,NA,0,Unknown,NA,http://www.ccwi.org/index.html,EPA,2012-04-13
Community Science Institute ,The mission of the Community Science Institute (CSI) is to foster and support environmental monitoring by volunteers in order to educate the public about Natural resources and to collect scientifically credible data for use in protecting the environment and maNAging NAtural resources sustaiNAbly,Both,North America,NGO,North America,2003,Ongoing,<100 km,Freshwater,NA,No,NA,NA,All,Specimen collection,All,Some,Unknown,Unknown,60,2009,Anyone interested,Yes,in-person,in-person,No,NA,NA,0,Unknown,NA,http://www.communityscience.org/,EPA,2012-04-13
CONE-Welder,"To determine if the sightings are: 1) representative of rapid and recent changes in breeding range, or 2) the result of normal bird vagrancy and dispersal",Data,North America,"Academic, Government",North America,2008,2011,<10 km,Terrestrial,Birds,No,NA,NA,All,Photo,All,Some,1343,3,Unknown,Unknown,Anyone interested,Yes,online tutorial video,electronic,Yes,online photos of bird species,electronic,1,Unknown,NA,http://cone.berkeley.edu,Scistarter,2012-03-04
Contra Costa Volunteer Creek Monitoring,"Volunteers wade through creeks in Contra Costa County (California), using the latest technology and scientific protocols to collect baseline data on our local watersheds GPS Creek Surveys - Using Global Positioning System (GPS) technology, volunteers map the physical attributes of the stream channel (substrate, canopy cover, bank characteristics, etc), extent and type of NAtive and invasive vegetation, and human influences (outfalls, dams, etc)Bioassessment - Using aquatic insects as indicators of water quality, volunteers learn more about the health of their neighborhood creeks and identify potential problem areas While water samples yield a detailed identification of the water at the time of sampling, the density and diversity of bugs in our creeks yield a watershed-level perspective of water quality and habitat viability over time",Both,North America,NGO,North America,2001,Ongoing,Unknown,Freshwater,"Insects, plants",No,biological data = index health of watershed,NA,All,Expert present,Some,All,Unknown,Unknown,Unknown,Unknown,Adults,Yes,expert  present,in-person,Yes,expert  present,in-person,0,Unknown,NA,http://cocowaterweb.org/about-us,NA,2012-03-05
Cook Inletkeeper ,To inventory baseline water quality in the waters of the Kachemak Bay and Anchor River watersheds; detect and report significant changes and track water quality trends; raise public awareness of the importance of water quality through hands-on involvement,Both,North America,NGO,North America,1996,Ongoing,<1000 km,"Marine, estuarine, freshwater",E. coli,No,NA,NA,Unknown,Specimen collection,Some,All,700,16,90,2009,Anyone interested,Yes,in-person,in-person,Yes,in-person,in-person,0,Unknown,NA,http://inletkeeper.org/clean-water/citizen-monitoring,EPA,2012-04-13
Craywatch,Craywatch is a citizen science project to monitor the spread of invasive crayfish in North America You can help science and conservation biology by participating in Craywatch projects,Data,North America,Academic,North America,2011,Ongoing,<1000 km,Freshwater,Crayfish,Yes,NA,NA,Some,Photo,Unknown,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,there is a blurb on the website about what to do.,electronic,No,NA,NA,0,Unknown,NA,http://www.utpa.edu/faculty/zfaulkes/craywatch/,Scistarter,2012-02-07
Cricket Crawl,"Research, education",Data,North America,"NGO, Government",North America,2009,2009,<100 km,Terrestrial,Crickets and katydids,No,NA,NA,None,NA,All,None,300,1,300,2009,Anyone interested,Yes,online instructions,electronic,Yes,online instructions,electronic,0,Unknown,NA,http://www.discoverlife.org/cricket/,Cornell Citizen Science Central,2012-04-27
Delaware Riverkeeper Network ,To monitor river and watershed health and to use the information to advocate,Both,North America,NGO,North America,1992,Ongoing,Unknown,Freshwater,Plants,Some,Riparian habitat,NA,Some,Photo,Unknown,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested who has gone through the training,Yes,workshop,in-person,Unknown,NA,NA,0,Unknown,NA,http://www.delawareriverkeeper.org/river-action/water-watch.aspx,EPA,2012-04-05
Dragonfly Monitoring Network,To gain a greater knowledge of the distribution and abundance of dragonfly and damselfly species in the Chicago region and eventually to expand the network across Illinois and beyond ,Data,North America,Academic,North America,Unknown,Unknown,<100 km,"Terrestrial, freshwater",Dragonfly and damselfly species,No,NA,NA,None,NA,None,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,in-person workshop,in-person,Yes,"in-person, web links",combo,0,Unknown,NA,http://www.anisoptera.org/,Scistarter,2012-02-20
Dragonfly Swarm Project,"to use the data collected from participants for two purposes: 1) to publish data from a massive number of dragonfly swarms in the scientific literature, making this information available to scientists, and 2) to provide information about this behavior to the public",Both,North America,Individual,Global,2010,Ongoing,>10000 km,"Terrestrial, freshwater",Dragonflies,No,NA,NA,Some,Photo,Some,None,Unknown,Unknown,1129,2011,Anyone interested,No,NA,NA,Yes,downloadable id guide for sonoran dessert,electronic,0,Unknown,NA,http://thedragonflywoman.com/,Scistarter,2012-02-15
Earthdive,Create a Global SNApshot of the state of the world’s oceans Earthdive is a global citizen science project that calls on recreatioNAl scuba divers and snorkelers to monitor the ocean for key indicator species,Data,Europe,Government,Global,Unknown,Ongoing,>10000 km,Marine,Marine indicator species,No,NA,NA,Some,Expert present,Some,None,Unknown,Unknown,Unknown,Unknown,Divers/snorklers,Yes,online and in-person,combo,Yes,in-person,in-person,0,Unknown,NA,http://www.earthdive.com/site/home/default.asp,NA,2012-03-05
Earthplace ,Seeks to help protect and restore the biological integrity of the Long Island Sound and its watershed The program began in 1986 initially as a citizen’s monitoring program which gathered data on hypoxic conditions in our local harbors The program was formally incorporated into the Earthplace programs in 1993 as Harbor Watch / River Watch,Both,North America,NGO,North America,1993,Ongoing,<1000 km,"Freshwater, estuarine, marine","Bacteria, aquatic insects",No,Fish length,NA,All,specimen and photo,Some,Some,Unknown,Unknown,55,2009,Anyone interested,Yes,in-person,in-person,Yes,in-person,in-person,0,Unknown,NA,http://www.earthplace.org/environment/water_quality.html,EPA,2012-04-13
eBird,To maximize the utility and accessibility of the vast numbers of bird observations made each year by recreatioNAl and professioNAl bird watchers,Data,North America,"Academic, NGO",Global,2002,Ongoing,>10000 km,"Terrestrial, freshwater, marine and estuarine",Birds,Some,NA,NA,Some,Photo,All,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,web resources,electronic,Yes,web resources,electronic,7,Unknown,NA,http://ebird.org/content/ebird/about,Cornell Citizen Science Central,2012-05-18
ECOCEAN-whale shark Photo ID library,The library is maintained and used by marine biologists to collect and aNAlyse whale shark encounter data to learn more about these amazing creatures,Data,North America,Academic,Global,2003,Ongoing,>10000 km,Marine,Whale shark,No,NA,NA,Some,Photo,All,None,2900,9,Unknown,2009,Anyone interested who sees a whale shark and has a camera,Yes,online,electronic,Yes,online,electronic,12,Unknown,NA,http://www.whaleshark.org/,Scistarter,2012-02-08
Environment and Natural Resources Institute (ENRI) ,"Development, testing, and promotion of biological monitoring programs for the state of Alaska",Data,North America,Academic,North America,1991,Ongoing,Unknown,Freshwater,Macroinvertebrates,No,NA,NA,None,NA,Unknown,Unknown,Unknown,Unknown,20,2002,Unknown,Yes,online manual/field guide,electronic,Yes,online manual/field guide,electronic,0,Unknown,NA,http://aquatic.uaa.alaska.edu/pdfs/EducationLevelBioMonitoringMethods.pdf,EPA,2012-04-05
Evolution Megalab,Evolution Megalab asks volunteers to survey banded sNAil populations in Europe to help map climate change effects,Both,Europe,"NGO, Academic",Global,Unknown,Ongoing,>10000 km,"Terrestrial, freshwater",Brown-lipped banded snail (Cepaea nemoralis),No,NA,NA,None,NA,All,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online material,electronic,Yes,online material,electronic,1,Unknown,NA,http://www.evolutionmegalab.org/en_GB/,Scistarter,2012-05-01
Exotic Species Sighting Program,To document invasive marine organisms,Both,North America,NGO,Global,1990,Ongoing,>10000 km,Marine,"Tunicates, algae, fish",Yes,size,NA,Some,Expert present,All,None,43432,2,12394,2010,Any scuba diver diving in the study area,Yes,online resources,electronic,Yes,online resources,electronic,1,Unknown,NA,http://www.reef.org/exotics,REEF,
Fairfax County Volunteer Stream Monitoring ,To assess stream water quality,Data,North America,Government,North America,1998,Ongoing,<100 km,Freshwater,"Aquatic insects and fish, fecal coliform",No,NA,NA,Some,Expert and specimen,Some,All,Unknown,Unknown,142,2009,Anyone interested,Yes,workshops and expert present,combo,Yes,workshops and expert present,combo,0,Unknown,NA,"http://www.fairfaxcounty.gov/dpwes/stormwater/volunteer.htm#benthics, http://www.fairfaxcounty.gov/dpwes/environmental/sps_main.htm, http://www.fairfaxcounty.gov/nvswcd/newsletter/streammonitor.htm, http://www.fairfaxcounty.gov/nvswcd/monitoring.htm",EPA,2012-04-13
Fall Long-billed Curlew Surveys in CA's Central Valley,The goal is to determine how important California's Central Valley is for wintering Long-billed Curlews,Data,North America,NGO,North America,2007,Ongoing,<100 km,"Terrestrial, marine",Long billed curlews,No,NA,NA,Unknown,NA,None,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://www.prbo.org/cms/449#where,Cornell Citizen Science Central,2012-05-11
Firefly Watch,"To learn about the geographic distribution of fireflies and their activity during the summer season Fireflies also may be affected by human-made light and pesticides in lawns, so we hope to also learn more about those effects",Data,North America,"NGO, Academic",North America,2008,Ongoing,>10000 km,Terrestrial,Fireflies,No,NA,NA,None,NA,All,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online instructions,electronic,Yes,online description/photo,electronic,0,Unknown,NA,https://www.mos.org/fireflywatch/,Scistarter,2012-03-05
Flint Creek Water shed ,To realize a long-term vision for a healthy watershed and educated citizens,Both,North America,NGO,North America,1992,Ongoing,<100 km,Freshwater,MacroInvertebrates,No,NA,NA,Unknown,NA,Unknown,Unknown,Unknown,Unknown,86,2005,"Students, teachers ",Unknown,Unknown,NA,Unknown,NA,NA,0,Unknown,NA,http://www.flintcreekwatershed.org/,EPA,2012-03-30
Florida Butterfly Monitoring Network,"Dedicated to promoting biodiversity by surveying the health of butterfly populations throughout Floridastatewide citizen scientist program that trains public volunteers and directly engages university scientists, zoological institution staff members, and conservation land maNAgers in field-based conservation and education targeting butterflies ",Both,North America,Academic,North America,2003,Ongoing,<1000 km,"Terrestrial, freshwater",Butterflies,No,NA,NA,None,NA,Some,All,Unknown,Unknown,Unknown,Unknown,"Anyone interested, 18 and older",Yes,"in-person workshop, web pdfs",combo,Yes,"in-person, web pdfs",combo,0,Unknown,NA,http://www.flbutterflies.net/,Scistarter,2012-02-20
Florida LAKEWATCH ,"Florida LAKEWATCH trains and certifies citizens to take monthly water samples and measurements which are compiled and used to establish baseline data on Florida lakes, streams, and coastal waters We also have information available to citizens concerning lake and water maNAgement",Data,North America,Academic,North America,1986,Ongoing,<10000 km,Freshwater,Aquatic plants,No,Water quality proxy,NA,All,Expert present,Some,All,Unknown,Unknown,2062,2002,Anyone interested,Yes,expert,in-person,Yes,expert,in-person,29,Unknown,NA,http://lakewatch.ifas.ufl.edu/,EPA,2012-04-03
Florida LAKEWATCH: Aquatic Bird Survey,"The Aquatic Bird Survey is meant to be an easy addition to the water chemistry sampling, and can be conducted on the same day that you collect your water samples",Data,North America,Academic,North America,Unknown,Ongoing,<10000 km,Freshwater,Aquatic birds,No,NA,NA,None,NA,Unknown,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,optional in-person along with packets,combo,Yes,optional in-person along with packets,combo,0,Unknown,NA,http://lakewatch.ifas.ufl.edu/AquatBird.htm,NA,2012-04-03
Fontenelle Forest Biodiversity,"To record observations of living things within Fontenelle Forest Nature preserve, in Nebraska Many research projects are done in Fontenelle, and tracking observations of the living things within the Forest may be of help in some of these projects, so I feel it's a worthwhile endeavor to collect the data",Data,North America,Individual,North America,2011,Ongoing,<10 km,Terrestrial,"Plants, animals",No,NA,NA,All,Photo,All,None,1,2,1,2012,Anyone interested,Yes,Instructions,electronic,Yes,website photo,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/fontenelle-forest-biodiversity,iNaturalist,2012-04-27
Forest Breeding Bird Monitoring,The overall goal of landbird monitoring is to track the status and trends of breeding landbirds within Network parks  Breeding landbird monitoring will also support and inform management decisions that may affect avian populations  AdditioNAl goals are to increase the visibility of the I&M program and to involve the public with the network’s monitoring program ,Data,North America,Government,North America,2006,Ongoing,<10000 km,Terrestrial,Birds,Some,breeding,NA,None,NA,Some,All,26,4,15,2010,Anyone interested,Yes,webpage instructions,electronic,Yes,bird song recordings,electronic,0,Unknown,NA,http://science.Nature.nps.gov/im/units/NETN/monitor/birds/birds.cfm#contact,Cornell Citizen Science Central,2012-05-18
Forest Salamander Monitoring,Preliminary objectives of this protocol are to track changes in salamander populations We propose to contribute to a network of sites (volunteer and professioNAl) in North America that will collect trend information on terrestrial salamanders,Both,North America,Government,North America,2006,Ongoing,<10 km,Terrestrial,Salamanders,No,NA,NA,Some,Expert present,None,All,Unknown,Unknown,Unknown,Unknown,"Students, professionals, volunteers",Yes,"online with curriculum, in-person",combo,Yes,"online/with curriculum, in-person",combo,0,Unknown,Curriculum that provides assessments,http://science.Nature.nps.gov/im/units/NETN/monitor/amphibians/amphibians.cfm,Cornell Citizen Science Central,2012-05-18
Fountain Creek Water Sentinels (part of Sierra Club Water Sentinels),The Fountain Creek Water Sentinels trains volunteers from Pueblo and Colorado Springs and to collect water samples of Fountain Creek The actual practice of water sampling and aNAlysis will educate citizens on water quality and help them feel more connected to Fountain Creek,Both,North America,NGO,North America,2006,Ongoing,<100 km,Freshwater,Fecal coliform,No,NA,NA,All,Specimen collection,Some,Unknown,Unknown,Unknown,10,2009,Anyone interested,Yes,workshops,in-person,Unknown,NA,NA,0,Unknown,NA,http://www.rmc.sierraclub.org/sdcg/WaterSentinels/WaterSentinels.html,EPA,2012-04-12
Fresno Bird Count,"This project addresses the impacts of urbanization on the distribution and abundance of birds species in Fresno, California, We are a volunteer citizen network established to conduct bird counts in the field",Data,North America,Academic,North America,2008,Ongoing,<100 km,Terrestrial,Birds,No,breeding time,NA,None,NA,Some,All,Unknown,Unknown,35,2008,"Must be able to id 20 most common birds by sight, sound",Yes,online ,electronic,Yes,online id tips,electronic,0,Unknown,NA,http://www.fresnobirds.org/,Cornell Citizen Science Central,2012-05-18
Friends of the Jordan River Watershed ,To monitor water quality in the Jordan River watershed while educating the public,Both,North America,NGO,North America,1997,Ongoing,<100 km,Freshwater,"Bacteria, fecal coliform, macroinvertebrates",No,NA,NA,All,Expert present,Unknown,Unknown,Unknown,Unknown,105,2006,"Students, others",Unknown,Unknown,NA,Unknown,NA,NA,0,Unknown,NA,http://www.friendsofthejordan.org/events/strmon.htm,EPA,2012-03-30
Frog Listening Network,We need to monitor the populations of frogs and toads that we have right here in Florida,Data,North America,Government,North America,Unknown,Ongoing,<100 km,"Terrestrial, freshwater","Frogs, toads",No,NA,NA,Some,Photo,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online and by mail,combo,Yes,online and by mail,combo,0,Unknown,NA,http://www.hillsborough.wateratlas.usf.edu/fln/,Scistarter,2012-02-17
FrogWatch,Allows individuals and families to learn about the wetlands in their communities and help conserve amphibians by reporting the calls of local frogs and toads,Both,North America,NGO,North America,1998,Ongoing,<10000 km,"Terestrial, freshwater","Frogs, toads",No,NA,NA,Unknown,NA,Some,All,10506,13,128,2010,"Training required, no children without adults",Yes,"in-person, online material",combo,Yes,Unknown,Unknown,0,Yes,Online quiz of frog calls,http://www.aza.org/frogwatch/,Scistarter,2012-02-15
Fulton County Adopt-A-Stream ,"Our mission is to ensure superior water resources for Fulton County through effective water quality monitoring, conservation, integrated educatioNAl semiNArs, and enhanced public understanding of water and other environmental issues through active citizen participation",Both,North America,Government,North America,1999,Ongoing,Unknown,Freshwater,"Macroinvertebrates, animals",No,NA,NA,Unknown,NA,All,Unknown,Unknown,Unknown,255,2009,Anyone interested,Yes,workshop,in-person,Unknown,NA,Unknown,0,Unknown,NA,http://www.fultoncountyga.gov/pw-water-services/pw-education-a-outreach/2808-adopt-a-stream,EPA,2012-04-11
Garden BirdWatch,Monitors the changing fortunes of birds and other garden wildlife,Data,Europe,NGO,Europe,1995,Ongoing,<1000 km,Terrestrial,"Birds, mammals, butterflies, bumblebees, reptiles, amphibians, hummingbird hawk moth, hornet, stag beetle, cockchafer (insect), and dragonflies",No,NA,NA,None,NA,Some,Some,15000,Unknown,5028,1995,Anyone interested,Yes,online,electronic,Yes,online,electronic,14,Unknown,NA,http://www.bto.org/volunteer-surveys/gbw,Scistarter,2012-04-20
Georgia Adopt-A-Stream,"The project goals are to increase public awareness of Georgia's water pollution and water quality issues, provide citizens with the tools and training to evaluate and protect their local waterways, encourage partnerships between citizens and their local government, and collect baseline water quality data",Both,North America,"NGO, Government",North America,1996,Ongoing,<1000 km,Freshwater,"Macroinvertebrates, amphibians, E.coli",No,NA,NA,Some,Expert present,Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,"workshop, online material",combo,Yes,"workshop, online-material",combo,0,Unknown,NA,http://aesl.ces.uga.edu/aascd/db/,Scistarter,2012-02-21
Global Garlic Mustard Field Survey,Help scientists gather much-needed data on the abundance and distribution of an invasive plant called 'garlic mustard' (scientific NAme: Alliaria petiolata),Both,"North America, Europe/Asia base",Academic,Global,Unknown,Ongoing,>10000 km,Terrestrial,Garlic mustard (Alliaria petiolata),Yes,When plant is flowering,NA,All,"Specimen, photo",Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online intructions,electronic,Yes,Online intructions,electronic,0,Unknown,NA,http://www.garlicmustard.org/,NA,2012-03-05
Global Reptile Bioblitz,"Aims to collect amateur observations of every species of reptile Together, we can map where these incredible creatures persist and insure their conservation into the future",Data,North America,"Academic, NGO",Global,2011,Ongoing,>10000 km,Multiple,Reptiles,No,NA,NA,Some,Expert and photo,All,None,200,2,Unknown,Unknown,Anyone interested,Yes,instructions,electronic,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/global-reptile-bioblitz,iNaturalist,2012-04-27
Golded Frog Project,"This project conducted by Ecodiversidad Colombia Foundation, arises as answer to the opportunity to involve the community in the amphibian conservation and the wide variety of wildlife of the region, which is located in the eastern Colombian Andes, using this animal group as flagship species to achieve the NAture conservation ",Both,South America,NGO,South America,2011,Ongoing,<10 km,"Terrestrial, freshwater","Amphibians, reptiles",No,NA,NA,All,Photo,All,Unknown,1,1,1,2011,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/supat%C3%A1-golden-frog-project,iNaturalist,2012-05-16
Goravan State Natura Reservation Biodiversity Project,The purpose of this project is to keep the record of the flora fauNA and micobiota and document spatial distribution of organisms at the Goravan State Reservation in Armenia,Data,Asia,Private,Asia,2012,Ongoing,<100 km,Terrestrial,Everything,No,NA,NA,Some,Photo,All,None,1,1,1,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/goravan-state-nature-reservation-biodiversity-project,iNaturalist,2012-04-27
Great Annual Fish Count,"To indroduce people to the hobby of fishwatching, and to educate the public about marine resources",Both,North America,NGO,Global,1992,Ongoing,>10000 km,Marine,Fish,Some,NA,NA,Some,Expert present,All,All,Unknown,Unknown,900,2001,Any scuba diver or snorklerdiving in the study area,Yes,online resources,electronic,Yes,online resources,electronic,,Unknown,NA,http://fishcount.org/about/index.html,REEF,
Great Basin National Park Birds EOL Collection,"This is an EOL Collection accessible through iNaturalistorg These are birds in and near Great Basin National Park The entire list is still being incorporated into EOL To learn more about birds in the park and to download a bird checklist, visit: http://wwwnpsgov/grba/NAturescience/birdshtm",Data,North America,NGO,North America,2012,Ongoing,<100 km,Terrestrial,Birds,No,NA,NA,All,Photo,All,None,5,1,5,2012,Anyone interested,No,NA,NA,Yes,website photos (only user submitted though),electronic,0,Unknown,NA,http://eol.org/collections/22571/images?sort_by=1&view_as=3,iNaturalist,2012-05-04
Great Bay Coast Watch ,"The Great Bay Coast Watch is run by citizen volunteers, dedicated to protecting the long-term health and natural resources of New Hampshire’s coastal waters and estuarine systems through monitoring and education projects",Both,North America,Academic,North America,1990,Unknown,Unknown,"Freshwater, estuarine",Birds,No,NA,NA,Unknown,NA,Unknown,Unknown,Unknown,Unknown,129,2009,"Retired citizens, teachers, and students who live and work near the Great Bay estuarine system",Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,"http://marine.unh.edu/outreach/coast-watch.html, http://yosemite.epa.gov/water/volmon.nsf/92bbe5755b37d19785256af4007d5dd6/024544252a5093038525671d006c4453!OpenDocument",EPA,2012-04-11
Great Lakes Worm Watch,"Asian Earthworms! Help stop their establishment

The best way to deal with invasive species is to stop their introduction in the first place There are several Asian species of earthworms in the genus “Amynthus” that are knocking on our doorstep and have the potential for very destructive impacts",Both,North America,Academic,North America,Unknown,Ongoing,<1000 km,Terrestrial,Earthworms,Yes,NA,NA,None,NA,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online and workshops,combo,Yes,online and workshops,combo,0,Yes,Curriculum,http://greatlakeswormwatch.org/default.htm,Scistarter,2012-02-17
Great Pollinator Project,To increase understanding of bee diversity in New York City and the region; to raise public awareness of native bees; and to improve park management and home gardening practices to benefit native bees,Both,North America,NGO,North America,2007,Ongoing,<100 km,Terrestrial,Bees,No,Bee phenology- how early they appear,NA,Some,Photo,None,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online,electronic,Yes,"Photos, descriptions on their website",electronic,0,Unknown,NA,http://greatpollinatorproject.org/,Project Noah,2012-05-18
Greater Gallatin Watershed Council - Stream Team Program ,Water quality monitoring and civic engagement,Both,North America,NGO,North America,Unknown,Ongoing,Unknown,Freshwater,E. coli,No,chlorophyll,NA,All,Specimen collection,Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,workshop,in-person,Unknown,NA,Unknown,0,Unknown,NA,http://www.greatergallatin.org/,EPA,2012-04-11
Greater Yellowstone Ecosystem,"Flora and fauNA of the Greater Yellowstone Ecoystem The Greater Yellowstone Ecosystem is one of the last remaining large, nearly intact ecosystems in the northern temperate zone of the Earth",Data,North America,Private,North America,2012,Ongoing,<1000 km,"Terrestrial, freshwater","Reptiles, amphibians",No,NA,NA,All,Photo,All,None,8,1,8,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/greater-yellowstone-ecosystem,iNaturalist,2012-04-27
Green Seattle Partnership Forest Monitoring Team,Restoration is happening throughout Seattle Parks aimed at bringing back native forests But is it working? The GSP Forest Monitoring Team gets residents directly involved in gauging the effectiveness of restoration efforts,Data,North America,Government,North America,2010,Ongoing,<100 km,Terrestrial,Plants,No,DBH,NA,Unknown,NA,None,All,Unknown,Unknown,15,2010,Adults,Yes,"""extensive classroom and field trainings""",in-person,Yes,extensive classroom and field trainings,in-person,Unknown,Unknown,NA,http://greenseattle.org/forest-steward-newsletters/2011/q2/gsp-volunteer-monitoring-team; http://www.earthcorps.org/pages.php?articleId=739,Scistarter,2012-02-01
Grunion Greeters,"We are a group of scientists, community members, environmental organizations, surfers, and beach workers dedicated to a better understanding of the habits and habitats of beach-spawning grunion, Leuresthes tenuis",Data,North America,Academic,North America,2002,2010,<100 km,Marine,Grunion (Leuresthes tenuis),No,breeding behavior and timing,NA,Unknown,NA,None,Some,Unknown,Unknown,550,2010,Must be over 18 years of age,Yes,"online, in-person",combo,Yes,"online, in-person",combo,0,Unknown,NA,http://grunion.pepperdine.edu/,Cornell Citizen Science Central,2012-05-18
Hawaii Sea Turtle Monitoring,"The aim of this project is to monitor (i) GREEN and HAWKSBILL turtles, and (ii) INVASIVE ALGAE in Hawaii We're particularly interested in observations of turtles with tumors Macroalgae are important food source for green turtles and may also promote disease If you see a stranded turtle call the NOAA Stranding Hotline at 808 983 5730 during business hours, after hours 808 288 5685",Data,North America,Government,North America,2007,Ongoing,<1000 km,Marine,Green and hawksbill turtles and invasive algae (green and brown),Yes,NA,NA,Some,Photo,All,None,Unknown,Unknown,28,2012,Anyone interested,No,NA,NA,Yes,website photos (only user submitted though),electronic,0,Unknown, NA,http://www.iNaturalist.org/projects/hawaii-sea-turtle-monitoring,iNaturalist,2012-05-04
HawkWatch,"Hawk Watches around the country allow researchers to collect important data on raptors When these numbers are brought together, the data help scientists understand the status of the raptor population-if the numbers of a species are increasing, decreasing, or stable in the environment Goals - Research, education",Both,North America,Government,North America,1995,Ongoing,<10 km,Terrestrial,"Birds, raptors, hawks",No,migration,NA,None,NA,All,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,No,NA,NA,Yes,online material,electronic,2,Unknown,NA,http://www.nps.gov/acad/naturescience/hawkwatch.htm,Cornell Citizen Science Central,2012-05-16
Herpetogasy Bioblitz,The HerpetoGasy BioBlitz is a citizen-science effort to harness amateur observations of reptiles and amphibians to enhance our understanding of the distribution and conservation status of Madagascar's unique fauNA,Data,Africa,NGO,Africa,2011,Ongoing,<10000 km,"Terrestrial, freshwater","Reptiles, amphibians",No,NA,NA,All,Photo,All,None,18,2,18,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/herpetogasy-bioblitz,iNaturalist,2012-04-27
High Country Citizen Science Project,Help Glacier Park rangers determine the status of mountain goats Collect data on the distribution of mountain goats,Data,North America,Government,North America,2005,Ongoing,<10000 km,Terrestrial,"Mountain goat, pikas, Clark's nutcracker",No,NA,NA,None,NA,Unknown,All,Unknown,Unknown,86,2008,No children,Yes,"participants attend a one-day classroom and field-based education program. Participants learn about species identification, maNAgement concerns, and how to observe and document observations of each species. They also learn how to use field equipment such as spotting scopes, compasses, and global positioning system (GPS) units.",in-person,Yes,"Participants attend a one-day classroom and field-based education program. Participants learn about species identification, maNAgement concerns, and how to observe and document observations of each species. They also learn how to use field equipment such as spotting scopes, compasses, and global positioning system (GPS) units.",in-person,0,Unknown,NA,http://www.nps.gov/glac/naturescience/ccrlc-citizen-science_hc.htm,Scistarter,
Hillsborough County Stormwater Public Education Awareness Campaign (SPEAC) ,"Hillsborough County SPEAC is an educatioNAl outreach program in which volunteers do monitoring, education, and restoration Our program has 2 components The Lake MaNAgement Program (LaMP) monitors lakes (currently 90; 150 in 1998) and educatescitizens in lake maNAgement Our new program, Adopt-A-Pond, trains citizens to maNAge stormwater ponds (30 ponds in 1997)",Both,North America,Government,North America,1996,Ongoing,Unknown,Freshwater,"Birds, insects, reptiles, mammals, fish, plants",Some,NA,NA,Unknown,NA,Some,Some,Unknown,Unknown,2425,2002,Anyone interested,Yes,online instructions,electronic,Yes,Pictures and descriptions online,electronic,0,Unknown,NA,http://www.hillsborough.wateratlas.usf.edu/AAP/,EPA,2012-03-30
