Organisms	Record_Count	%of296,871
Fundulus Grandis	9	0.003
Gadopsis Marmoratus	9	0.003
Galidia Elegans	9	0.003
Gambelia Sila	9	0.003
Gazella Arabica	9	0.003
Gazella Dama Mhorr	9	0.003
Gazella Thomsoni	9	0.003
Geochelone Yniphora	9	0.003
Giraffa Camelopardalis Tippelskirchi	9	0.003
Glaucidium Brasilianum	9	0.003
Glossina Palpalis Gambiensis	9	0.003
Gopherus Flavomarginatus	9	0.003
Gopherus Morafkai	9	0.003
Gorilla Beringei Graueri	9	0.003
Graptemys Pseudogeographica	9	0.003
Gryllus	9	0.003
Gymnorhina Tibicen	9	0.003
Gyrinidae	9	0.003
Haliaeetus Vociferoides	9	0.003
Halichoerus Grypus	9	0.003
Haliotis Gigantea	9	0.003
Henneguya	9	0.003
Heterocypris Incongruens	9	0.003
Heterodera Schachtii	9	0.003
Hiodon Alosoides	9	0.003
Hipposideridae	9	0.003
Holothuria Scabra	9	0.003
Homalodisca Coagulata	9	0.003
Hoplosternum Littorale	9	0.003
Houbaropsis Bengalensis	9	0.003
Hydropotes Inermis	9	0.003
Hydropsyche Pellucidula	9	0.003
Hymenolepis Diminuta	9	0.003
Hypsipyla Grandella	9	0.003
Iphiseiodes Zuluagai	9	0.003
Iridomyrmex	9	0.003
Iridomyrmex Humilis	9	0.003
Keratella Cochlearis	9	0.003
Kinosternon Flavescens	9	0.003
Kinosternon Subrubrum	9	0.003
Labeo Bata	9	0.003
Labeobarbus Aeneus	9	0.003
Labidura Riparia	9	0.003
Lagorchestes Hirsutus	9	0.003
Laricobius Rubidus	9	0.003
Larus Michahellis	9	0.003
Leiopelma Hamiltoni	9	0.003
Leptailurus Serval	9	0.003
Lepus Timidus Hibernicus	9	0.003
Limnodynastes Tasmaniensis	9	0.003
Liposcelis Entomophila	9	0.003
Longidorus	9	0.003
Loricariidae	9	0.003
Lucanidae	9	0.003
Lutra Maculicollis	9	0.003
Luxilus Cornutus	9	0.003
Lycaena Helle	9	0.003
Lymnaea Natalensis	9	0.003
Macaca Assamensis	9	0.003
Macrhybopsis Gelida	9	0.003
Macrobrachium Australiense	9	0.003
Macrocyclops Albidus	9	0.003
Macrosiphum Rosae	9	0.003
Manorina Melanophrys	9	0.003
Marmaronetta Angustirostris	9	0.003
Martes Flavigula	9	0.003
Martes Melampus	9	0.003
Martes Zibellina	9	0.003
Matsucoccus Feytaudi	9	0.003
Megachile	9	0.003
Megaselia Halterata	9	0.003
Mesocestoides	9	0.003
Mesocyclops	9	0.003
Meteorus Pulchricornis	9	0.003
Micropterus Treculii	9	0.003
Microtus Pinetorum	9	0.003
Milvago Chimango	9	0.003
Mniotilta Varia	9	0.003
Monochamus	9	0.003
Motacilla Alba	9	0.003
Mus Musculus Domesticus	9	0.003
Musca Vetustissima	9	0.003
Mycteria Leucocephala	9	0.003
Myotis Capaccinii	9	0.003
Myotis Leibii	9	0.003
Myotis Thysanodes	9	0.003
Nannochloropsis Oculata	9	0.003
Nasua Narica	9	0.003
Necturus Maculosus	9	0.003
Neoceratodus Forsteri	9	0.003
Neohydronomus Affinis	9	0.003
Neophema Chrysogaster	9	0.003
Nephotettix Cincticeps	9	0.003
Nephotettix Virescens	9	0.003
Nerodia Fasciata	9	0.003
Netta Rufina	9	0.003
Nicrophorus	9	0.003
Nocomis Leptocephalus	9	0.003
Nosema Bombi	9	0.003
Notomys Alexis	9	0.003
Notonectidae	9	0.003
Notropis Bifrenatus	9	0.003
Noturus Placidus	9	0.003
Nyctalus	9	0.003
Nycticebus Pygmaeus	9	0.003
Octolasion Cyaneum	9	0.003
Octolasion Lacteum	9	0.003
Oenanthe Oenanthe	9	0.003
Oligoryzomys Flavescens	9	0.003
Ompok Bimaculatus	9	0.003
Oncorhynchus Clarkii Clarkii	9	0.003
Oncorhynchus Masou Formosanus	9	0.003
Oncorhynchus Tschawytscha	9	0.003
Ophicephalus Striatus	9	0.003
Oreoscoptes Montanus	9	0.003
Orius Minutus	9	0.003
Orthotylus Marginalis	9	0.003
Oryzomys Palustris	9	0.003
Osmia	9	0.003
Ovis Dalli Dalli	9	0.003
Ovis Orientalis	9	0.003
Oziotelphusa Senex Senex	9	0.003
Pachyneuron Aphidis	9	0.003
Paguma Larvata	9	0.003
Palaemonetes Argentinus	9	0.003
Pangasius Hypophthalmus	9	0.003
Panthera Leo Leo	9	0.003
Paradoxurus Hermaphroditus	9	0.003
Paralithodes Camtschaticus	9	0.003
Parelaphostrongylus Tenuis	9	0.003
Parkesia Motacilla	9	0.003
Parus Atricapillus	9	0.003
Pelobates Fuscus	9	0.003
Penaeus Stylirostris	9	0.003
Percichthyidae	9	0.003
Percina Caprodes	9	0.003
Perillus Bioculatus	9	0.003
Periplaneta Americana	9	0.003
Perisoreus Canadensis	9	0.003
Peromyscus Truei	9	0.003
Petrogale Lateralis	9	0.003
Petromyzontiformes	9	0.003
Peucaea Aestivalis	9	0.003
Phalaropus Lobatus	9	0.003
Phasmarhabditis Hermaphrodita	9	0.003
Pheucticus Ludovicianus	9	0.003
Phocarctos Hookeri	9	0.003
Phoeniconaias Minor	9	0.003
Phylloscopus Collybita	9	0.003
Picus Canus	9	0.003
Pimelodidae	9	0.003
Pipilo Erythrophthalmus	9	0.003
Pipistrellus Subflavus	9	0.003
Plagopterus Argentissimus	9	0.003
Platysternon Megacephalum	9	0.003
Plectropomus Leopardus	9	0.003
Plestiodon Reynoldsi	9	0.003
Plethodon	9	0.003
Pluvialis Dominica	9	0.003
Podarcis Sicula	9	0.003
Poecilia Sphenops	9	0.003
Pompilidae	9	0.003
Porphyrio Mantelli	9	0.003
Pratylenchus Coffeae	9	0.003
Prochilodus Costatus	9	0.003
Procolobus Gordonorum	9	0.003
Prolemur Simus	9	0.003
Propithecus Verreauxi	9	0.003
Propylea Japonica	9	0.003
Prorops Nasuta	9	0.003
Prosobranchia	9	0.003
Prunella Modularis	9	0.003
Pseudaletia Unipuncta	9	0.003
Pseudomys Australis	9	0.003
Pseudomys Novaehollandiae	9	0.003
Psyllaephagus Bliteus	9	0.003
Pterostichus Niger	9	0.003
Pudu Puda	9	0.003
Python Regius	9	0.003
Pyxis Arachnoides	9	0.003
Rallidae	9	0.003
Rana Lessonae	9	0.003
Rhinella Arenarum	9	0.003
Rhinolophidae	9	0.003
Rhinolophus Mehelyi	9	0.003
Rhopalomyia Californica	9	0.003
Rita Rita	9	0.003
Romanomermis Culicivorax	9	0.003
Salvator Merianae	9	0.003
Schistocephalus Solidus	9	0.003
Schistosoma Japonicum	9	0.003
Schizothorax Prenanti	9	0.003
Scomber Scombrus	9	0.003
Sebastes	9	0.003
Sesiidae	9	0.003
Setophaga Discolor	9	0.003
Sigmodontinae	9	0.003
Simulium Vittatum	9	0.003
Siricidae	9	0.003
Sisoridae	9	0.003
Spinibarbus Sinensis	9	0.003
Spizella Pallida	9	0.003
Spizella Passerina	9	0.003
Sylvilagus Palustris Hefneri	9	0.003
Symbiodinium	9	0.003
Taenia Hydatigena	9	0.003
Terrapene Carolina	9	0.003
Testacida	9	0.003
Testudo Hermanni Boettgeri	9	0.003
Tetragnathidae	9	0.003
Tetranychus Turkestani	9	0.003
Thamnocephalus Platyurus	9	0.003
Thryothorus Ludovicianus	9	0.003
Tilapia Guineensis	9	0.003
Tor Tor	9	0.003
Tortrix Viridana	9	0.003
Toxoptera Citricida	9	0.003
Trachurus Japonicus	9	0.003
Tragelaphus Oryx	9	0.003
Trichomycterus Areolatus	9	0.003
Triturus	9	0.003
Triturus Alpestris	9	0.003
Triturus Helveticus	9	0.003
Trypanosomatidae	9	0.003
Unaspis Euonymi	9	0.003
Uroleucon Nigrotuberculatum	9	0.003
Venturia Canescens	9	0.003
Vimba Vimba	9	0.003
Xylosandrus Crassiusculus	9	0.003
Zabrotes Subfasciatus	9	0.003
Acalymma Vittatum	8	0.003
Acanthoscelides Macrophthalmus	8	0.003
Acheta Domesticus	8	0.003
Acomys Cahirinus	8	0.003
Acrocephalus Sechellensis	8	0.003
Acropora Millepora	8	0.003
Aglais Urticae	8	0.003
Agriotes Sputator	8	0.003
Alburnoides Bipunctatus	8	0.003
Aleurothrixus Floccosus	8	0.003
Alexandrium Catenella	8	0.003
Alosa	8	0.003
Alosa Fallax	8	0.003
Alouatta Guariba Clamitans	8	0.003
Alphitobius Diaperinus	8	0.003
Alytes Muletensis	8	0.003
Amazona Autumnalis	8	0.003
Amblyomma	8	0.003
Amblyseius	8	0.003
Amblyseius Eharai	8	0.003
Ambystoma Tigrinum Mavortium	8	0.003
Ammodramus Maritimus Mirabilis	8	0.003
Amoebida	8	0.003
Amphispiza Belli	8	0.003
Anarsia Lineatella	8	0.003
Anas Crecca Carolinensis	8	0.003
Anastrepha Sororcula	8	0.003
Anomala Orientalis	8	0.003
Anopheles Pseudopunctipennis	8	0.003
Anopheles Quadrimaculatus	8	0.003
Anopheles Sinensis	8	0.003
Anoplophora Chinensis	8	0.003
Aphelinus Abdominalis	8	0.003
Aphytis	8	0.003
Aprostocetus	8	0.003
Apteryx Haastii	8	0.003
Ardeola Ralloides	8	0.003
Argulus Japonicus	8	0.003
Argulus Siamensis	8	0.003
Artemia Nauplii	8	0.003
Artioposthia Triangulata	8	0.003
Arvicanthis Niloticus	8	0.003
Ascaris	8	0.003
Asobara Tabida	8	0.003
Aspius Aspius	8	0.003
Astigmata	8	0.003
Atractoscion Nobilis	8	0.003
Attini	8	0.003
Atyidae	8	0.003
Autographa Gamma	8	0.003
Baeolophus Bicolor	8	0.003
Baetidae	8	0.003
Barbus Sharpeyi	8	0.003
Biston Betularia	8	0.003
Bombus Terricola	8	0.003
Bradysia Odoriphaga	8	0.003
Branta Canadensis Maxima	8	0.003
Budorcas Taxicolor	8	0.003
Buphagus Erythrorhynchus	8	0.003
Caiman Crocodilus Yacare	8	0.003
Calidris Alba	8	0.003
Calidris Minutilla	8	0.003
Calidris Tenuirostris	8	0.003
Caligus Elongatus	8	0.003
Callicebus Coimbrai	8	0.003
Calliptamus Italicus	8	0.003
Callithrix Aurita	8	0.003
Callithrix Kuhlii	8	0.003
Cambarus Bartonii	8	0.003
Campephilus Magellanicus	8	0.003
Campyloneuropsis Infumatus	8	0.003
Capoeta Capoeta	8	0.003
Capoeta Tinca	8	0.003
Capra Nubiana	8	0.003
Capreolus Capreolus Italicus	8	0.003
Caracara Cheriway	8	0.003
Cardisoma Guanhumi	8	0.003
Carduelis Cannabina	8	0.003
Catharacta Maccormicki	8	0.003
Catostomus Occidentalis	8	0.003
Centropomus Parallelus	8	0.003
Ceratitis Fasciventris	8	0.003
Cercocebus Galeritus	8	0.003
Cervus Dama	8	0.003
Ceryle Alcyon	8	0.003
Chamaemyiidae	8	0.003
Charadriidae	8	0.003
Cheiracanthium Mildei	8	0.003
Chelodina Expansa	8	0.003
Chironominae	8	0.003
Chlamydotis Undulata Macqueenii	8	0.003
Chlidonias Albostriatus	8	0.003
Chloephaga Rubidiceps	8	0.003
Chromatomyia Horticola	8	0.003
Chrysopa Carnea	8	0.003
Cichlasoma Urophthalmus	8	0.003
Clarias Fuscus	8	0.003
Clethrionomys	8	0.003
Clinostomum Complanatum	8	0.003
Cloeon Dipterum	8	0.003
Coelenterata	8	0.003
Colobus Vellerosus	8	0.003
Comperiella Bifasciata	8	0.003
Connochaetes Gnou	8	0.003
Copsychus Sechellarum	8	0.003
Corvus	8	0.003
Costelytra Zealandica	8	0.003
Cottus Bairdii	8	0.003
Crambidae	8	0.003
Crangonyx Pseudogracilis	8	0.003
Crassostrea Hongkongensis	8	0.003
Crepidostomum Farionis	8	0.003
Cristaria Plicata	8	0.003
Crocodylia	8	0.003
Cryptotermes Brevis	8	0.003
Cryptotis Parva	8	0.003
Ctenopseustis Obliquana	8	0.003
Culex Nigripalpus	8	0.003
Culex Restuans	8	0.003
Culicinae	8	0.003
Curculio Caryae	8	0.003
Curculio Elephas	8	0.003
Cycleptus Elongatus	8	0.003
Cydia Molesta	8	0.003
Cygnus Atratus	8	0.003
Cypriniformes	8	0.003
Cyprinodon Bovinus	8	0.003
Cyprinodontiformes	8	0.003
Cyprinus Carpio Carpio	8	0.003
Cyzenis Albicans	8	0.003
Dacinae	8	0.003
Daphnia Carinata	8	0.003
Delia Antiqua	8	0.003
Delphastus Catalinae	8	0.003
Delphinapterus Leucas	8	0.003
Dendrocerus	8	0.003
Dendrocygna Autumnalis	8	0.003
Dermacentor Albipictus	8	0.003
Desmognathus	8	0.003
Diaphanosoma Brachyurum	8	0.003
Didelphidae	8	0.003
Dinocampus Coccinellae	8	0.003
Dionda Diaboli	8	0.003
Dioryctria	8	0.003
Dysmicoccus Brevipes	8	0.003
Echinodermata	8	0.003
Ectatomminae	8	0.003
Ectomyelois Ceratoniae	8	0.003
Ectopistes Migratorius	8	0.003
Egretta Eulophotes	8	0.003
Elusor Macrurus	8	0.003
Emberiza Cirlus	8	0.003
Empoasca Vitis	8	0.003
Emydura Macquarii	8	0.003
Enaphalodes Rufulus	8	0.003
Encarsia Citrina	8	0.003
Engraulis Encrasicolus	8	0.003
Engytatus Varians	8	0.003
Enteromyxum Leei	8	0.003
Eptesicus	8	0.003
Eptesicus Nilssonii	8	0.003
Epthianura Albifrons	8	0.003
Equidae	8	0.003
Esox Lucius X E Masquinongy	8	0.003
Esox Masquinongy X E Lucius	8	0.003
Esox Niger	8	0.003
Euderma Maculatum	8	0.003
Eupoecilia Ambiguella	8	0.003
Euproctis Chrysorrhoea	8	0.003
Eurycea Nana	8	0.003
Eustenopus Villosus	8	0.003
Exochomus Quadripustulatus	8	0.003
Felis	8	0.003
Felis Chaus	8	0.003
Felis Concolor Coryi	8	0.003
Felis Lynx Rufus	8	0.003
Forficulidae	8	0.003
Fredericella Sultana	8	0.003
Galerucella Lineola	8	0.003
Galidictis Fasciata	8	0.003
Gambusia	8	0.003
Gammarus Pseudolimnaeus	8	0.003
Gavia Adamsii	8	0.003
Gavia Stellata	8	0.003
Gehyra Variegata	8	0.003
Gelochelidon Nilotica	8	0.003
Geospiza Fortis	8	0.003
Gerromorpha	8	0.003
Giardia Lamblia	8	0.003
Gnathopogon Caerulescens	8	0.003
Gorilla Gorilla Beringei	8	0.003
Gynaikothrips Uzeli	8	0.003
Gyps Tenuirostris	8	0.003
Heliothrips Haemorrhoidalis	8	0.003
Helmitheros Vermivorum	8	0.003
Hemidactylus Mabouia	8	0.003
Hippoboscidae	8	0.003
Hirundo Atrocaerulea	8	0.003
Hoolock Hoolock	8	0.003
Horabagrus Brachysoma	8	0.003
Hyalella Curvispina	8	0.003
Hyalomma	8	0.003
Hyalomma Marginatum	8	0.003
Hybognathus Placitus	8	0.003
Hydropsyche Angustipennis	8	0.003
Hyla Savignyi	8	0.003
Hylobius Transversovittatus	8	0.003
Hylurgops Palliatus	8	0.003
Hylurgus Ligniperda	8	0.003
Hypoaspis Miles	8	0.003
Icerya Purchasi	8	0.003
Ichthyosaura Alpestris	8	0.003
Indoplanorbis Exustus	8	0.003
Ips Acuminatus	8	0.003
Ischnura Elegans	8	0.003
Ixodes	8	0.003
Junonia Coenia	8	0.003
Labeo	8	0.003
Labeo Umbratus	8	0.003
Lacertidae	8	0.003
Lacertilia	8	0.003
Lagopus Lagopus Scotica	8	0.003
Lagopus Muta Helvetica	8	0.003
Lamellidens Marginalis	8	0.003
Lampetra	8	0.003
Lampropholis Delicata	8	0.003
Lasius Flavus	8	0.003
Lasmigona Costata	8	0.003
Leishmania Infantum	8	0.003
Leporinus Friderici	8	0.003
Leptobotia Elongata	8	0.003
Leptonycteris Curasoae	8	0.003
Leptopilina Boulardi	8	0.003
Lepus Capensis	8	0.003
Leucocytozoon Simondi	8	0.003
Libellulidae	8	0.003
Limnodrilus	8	0.003
Limosa Fedoa	8	0.003
Liriomyza Bryoniae	8	0.003
Liza Ramada	8	0.003
Lophocebus Albigena	8	0.003
Loxioides Bailleui	8	0.003
Luciobarbus Bocagei	8	0.003
Lumbriculidae	8	0.003
Lumbricus Castaneus	8	0.003
Lutjanus Guttatus	8	0.003
Lymnaea	8	0.003
Macaca Arctoides	8	0.003
Macaca Nigra	8	0.003
Macrobrachium Vollenhovenii	8	0.003
Macroheterocera	8	0.003
Macrolophus Basicornis	8	0.003
Macronectes Giganteus	8	0.003
Macropus Antilopinus	8	0.003
Manis Pentadactyla	8	0.003
Martes	8	0.003
Mauremys Reevesii	8	0.003
Megalonaias Nervosa	8	0.003
Megalurothrips Sjostedti	8	0.003
Megoura Viciae	8	0.003
Meligethes	8	0.003
Meliphagidae	8	0.003
Melipona Scutellaris	8	0.003
Mergus Serrator	8	0.003
Metapenaeus Monoceros	8	0.003
Micoureus Demerarae	8	0.003
Micraspis Discolor	8	0.003
Microtus Californicus Scirpensis	8	0.003
Misgurnus Mizolepis	8	0.003
Mogurnda Adspersa	8	0.003
Mohoua Ochrocephala	8	0.003
Monachus Schauinslandi	8	0.003
Monelliopsis Pecanis	8	0.003
Mormoopidae	8	0.003
Moschus Moschiferus	8	0.003
Motacilla Cinerea	8	0.003
Mugil Liza	8	0.003
Mus Minutoides	8	0.003
Musca Autumnalis	8	0.003
Muscidifurax Zaraptor	8	0.003
Muscoidea	8	0.003
Myoxocephalus Thompsoni	8	0.003
Myoxocephalus Thompsonii	8	0.003
Myrmica Sabuleti	8	0.003
Mystus Nemurus	8	0.003
Mytilus Trossulus	8	0.003
Myxidium	8	0.003
Naemorhedus Goral	8	0.003
Neascus	8	0.003
Neoechinorhynchus Cylindratus	8	0.003
Neoleucinodes Elegantalis	8	0.003
Neotoma Fuscipes	8	0.003
Nereis Diversicolor	8	0.003
Nicrophorus Vespilloides	8	0.003
Nomascus Hainanus	8	0.003
Notropis Stramineus	8	0.003
Nycticebus	8	0.003
Nycticebus Bengalensis	8	0.003
Nyctophilus Gouldi	8	0.003
Oedaleus Senegalensis	8	0.003
Oedothorax Apicatus	8	0.003
Oligonychus Coffeae	8	0.003
Oligonychus Perseae	8	0.003
Oligosoma Grande	8	0.003
Oligosoma Otagense	8	0.003
Oncorhynchus Clarki Utah	8	0.003
Oncorhynchus Clarkii Pleuriticus	8	0.003
Oncorhynchus Mykiss Gairdneri	8	0.003
Onychiurus Armatus	8	0.003
Oomyzus Sokolowskii	8	0.003
Opisthorchis Viverrini	8	0.003
Orconectes Immunis	8	0.003
Orseolia Oryzae	8	0.003
Otomys Irroratus	8	0.003
Ovis Canadensis Mexicana	8	0.003
Ovis Dalli	8	0.003
Ovis Gmelini Musimon	8	0.003
Ovis Vignei	8	0.003
Oxyopes Salticus	8	0.003
Pachycrepoideus Vindemmiae	8	0.003
Pantholops Hodgsoni	8	0.003
Papio Hamadryas	8	0.003
Parabuteo Unicinctus	8	0.003
Parahucho Perryi	8	0.003
Parus Montanus	8	0.003
Pavo Muticus	8	0.003
Pelophylax Lessonae	8	0.003
Perca	8	0.003
Percina Pantherina	8	0.003
Pezothrips Kellyanus	8	0.003
Phalacrocorax Aristotelis	8	0.003
Phalaropus Fulicarius	8	0.003
Phascogale Calura	8	0.003
Phengaris Teleius	8	0.003
Philoscia Muscorum	8	0.003
Phlaeothripidae	8	0.003
Physa Fontinalis	8	0.003
Pieris Napi	8	0.003
Pinctada Maxima	8	0.003
Planorbidae	8	0.003
Platalea Leucorodia	8	0.003
Plathypena Scabra	8	0.003
Platygobio Gracilis	8	0.003
Platypodinae	8	0.003
Plecotus	8	0.003
Plectrophenax Nivalis	8	0.003
Pleurodeles Waltl	8	0.003
Pleuronectidae	8	0.003
Podarcis Bocagei	8	0.003
Pogonichthys Macrolepidotus	8	0.003
Polemaetus Bellicosus	8	0.003
Polyommatus Bellargus	8	0.003
Polysticta Stelleri	8	0.003
Ponticola Kessleri	8	0.003
Pratylenchus Thornei	8	0.003
Pratylenchus Zeae	8	0.003
Pristis Pectinata	8	0.003
Procambarus Acutus Acutus	8	0.003
Procladius	8	0.003
Prostigmata	8	0.003
Psammobates Geometricus	8	0.003
Psephurus Gladius	8	0.003
Pseudalopex Griseus	8	0.003
Pseudemydura Umbrina	8	0.003
Pseudibis Davisoni	8	0.003
Pseudodactylogyrus Anguillae	8	0.003
Psyllaephagus	8	0.003
Psyttalia Lounsburyi	8	0.003
Pteromalus	8	0.003
Pteropus Tonganus	8	0.003
Ptychocheilus Grandis	8	0.003
Puntius Gonionotus	8	0.003
Puntius Sarana	8	0.003
Pygoscelis Antarctica	8	0.003
Quadrula Pustulosa	8	0.003
Rangifer Tarandus Pearyi	8	0.003
Ranidae	8	0.003
Regulus Regulus	8	0.003
Retropinna Retropinna	8	0.003
Rhabdias	8	0.003
Rhagoletis	8	0.003
Rhinopithecus Strykeri	8	0.003
Rhipicephalus Bursa	8	0.003
Rhipicephalus Evertsi Evertsi	8	0.003
Rhipicephalus Microplus	8	0.003
Rhizopoda	8	0.003
Riptortus Pedestris	8	0.003
Rupicapra Pyrenaica	8	0.003
Rupicapra Pyrenaica Pyrenaica	8	0.003
Rupicapra Rupicapra Rupicapra	8	0.003
Saccostrea Commercialis	8	0.003
Saguinus Fuscicollis	8	0.003
Sarcoptes Scabiei	8	0.003
Sardinops Sagax	8	0.003
Sasajiscymnus Tsugae	8	0.003
Scapteriscus	8	0.003
Scleropages Formosus	8	0.003
Sebastes Schlegelii	8	0.003
Seiurus Noveboracensis	8	0.003
Selasphorus Platycercus	8	0.003
Sesamia Inferens	8	0.003
Siluridae	8	0.003
Simocephalus Vetulus	8	0.003
Sitophilus	8	0.003
Sminthopsis Crassicaudata	8	0.003
Sorex Caecutiens	8	0.003
Sotalia Fluviatilis	8	0.003
Spermophilus Beecheyi	8	0.003
Spermophilus Tridecemlineatus	8	0.003
Sphaeriidae	8	0.003
Sphaerophoria Scripta	8	0.003
Spizaetus Bartelsi	8	0.003
Squalus Acanthias	8	0.003
Steindachneridion Parahybae	8	0.003
Sternorrhyncha	8	0.003
Stratiolaelaps Scimitus	8	0.003
Strombus Gigas	8	0.003
Sylvia Borin	8	0.003
Sylvia Melanocephala	8	0.003
Synemon Plana	8	0.003
Syrmaticus Reevesii	8	0.003
Tachybaptus Ruficollis	8	0.003
Tachyporus Hypnorum	8	0.003
Tadarida Teniotis	8	0.003
Tanichthys Albonubes	8	0.003
Tanypodinae	8	0.003
Tenthredinidae	8	0.003
Tersilochus Heterocerus	8	0.003
Testudinidae	8	0.003
Tetrahymena Thermophila	8	0.003
Tettigonioidea	8	0.003
Thalassarche Chrysostoma	8	0.003
Theileria	8	0.003
Thunnus Obesus	8	0.003
Tor Khudree	8	0.003
Toxostoma Rufum	8	0.003
Trachops Cirrhosus	8	0.003
Triatoma Sordida	8	0.003
Trichinella	8	0.003
Trichosirocalus Horridus	8	0.003
Trichosurus Cunninghami	8	0.003
Trypodendron Domesticum	8	0.003
Turdoides Hindei	8	0.003
Turdus Falcklandii	8	0.003
Tylenchulus Semipenetrans	8	0.003
Tympanocryptis Pinguicolla	8	0.003
Typhaea Stercorea	8	0.003
Typhlodromalus Aripo	8	0.003
Urosaurus Ornatus	8	0.003
Valencia Letourneuxi	8	0.003
Varanus Exanthematicus	8	0.003
Varanus Salvator	8	0.003
Varecia Variegata	8	0.003
Vermivora Cyanoptera	8	0.003
Vireo Gilvus	8	0.003
Wilsonia Citrina	8	0.003
Xanthomyza Phrygia	8	0.003
Xerospermophilus Mohavensis	8	0.003
Xylocopa	8	0.003
Xylocoris Flavipes	8	0.003
Zamenis Longissimus	8	0.003
Zonotrichia Capensis	8	0.003
Abacarus Hystrix	7	0.002
Abax Parallelepipedus	7	0.002
Acheilognathus Longipinnis	7	0.002
Actinemys Marmorata	7	0.002
Aedes Sierrensis	7	0.002
Agamidae	7	0.002
Aganaspis Pelleranoi	7	0.002
Agriotes Ustulatus	7	0.002
Aleochara	7	0.002
Aleochara Bipustulata	7	0.002
Aleurodicus Rugioperculatus	7	0.002
Allothrombium Pulvinum	7	0.002
Amazona	7	0.002
Amazona Farinosa	7	0.002
Amazona Oratrix	7	0.002
Amblyseius Longispinosus	7	0.002
Ambystoma Barbouri	7	0.002
Ameiva Polops	7	0.002
Amphiprion Ocellaris	7	0.002
Amphitetranychus Viennensis	7	0.002
Anagyrus	7	0.002
Anas Fulvigula	7	0.002
Anas Laysanensis	7	0.002
Anas Superciliosa	7	0.002
Anastatus	7	0.002
Anastrepha Striata	7	0.002
Anaxyrus Fowleri	7	0.002
Anguillicoloides Crassus	7	0.002
Anguilliformes	7	0.002
Anopheles Claviger	7	0.002
Anopheles Gambiae Complex	7	0.002
Anophelinae	7	0.002
Anser Caerulescens Atlanticus	7	0.002
Anserinae	7	0.002
Anthonomus Eugenii	7	0.002
Anthracoceros Albirostris	7	0.002
Anthropoides Paradiseus	7	0.002
Antilocapra Americana Peninsularis	7	0.002
Aonyx Capensis	7	0.002
Aonyx Cinereus	7	0.002
Aphelenchoides	7	0.002
Aphelenchus Avenae	7	0.002
Aphidius Gifuensis	7	0.002
Aphthona Lacertosa	7	0.002
Apiosoma	7	0.002
Aplodontia Rufa Nigra	7	0.002
Apteryx	7	0.002
Apteryx Australis	7	0.002
Aquila Audax	7	0.002
Aquila Nipalensis	7	0.002
Ara Glaucogularis	7	0.002
Araneus Diadematus	7	0.002
Arctiidae	7	0.002
Arctiinae	7	0.002
Ardeola Bacchus	7	0.002
Ardeola Ibis	7	0.002
Argiope Trifasciata	7	0.002
Argopecten Ventricosus	7	0.002
Arion Subfuscus	7	0.002
Arvicola Amphibius	7	0.002
Asobara Japonica	7	0.002
Astyanax	7	0.002
Ateles Belzebuth	7	0.002
Austropotamobius Pallipes Complex	7	0.002
Aythya Nyroca	7	0.002
Azteca Sericeasur	7	0.002
Babina Subaspera	7	0.002
Bactrocera Carambolae	7	0.002
Bactrocera Zonata	7	0.002
Barbus Conchonius	7	0.002
Barbus Plebejus	7	0.002
Bettongia Gaimardi	7	0.002
Bettongia Penicillata Ogilbyi	7	0.002
Biomphalaria Tenagophila	7	0.002
Boloria Eunomia	7	0.002
Bombina Pachypus	7	0.002
Bombus Hypnorum	7	0.002
Bombus Ruderatus	7	0.002
Bombyx Mori	7	0.002
Bos Mutus	7	0.002
Bothriocephalus Claviceps	7	0.002
Brachycaudus Helichrysi	7	0.002
Brachymystax Lenok Tsinlingensis	7	0.002
Brachyramphus Brevirostris	7	0.002
Bradysia Difformis	7	0.002
Branchinecta Sandiegonensis	7	0.002
Branta Bernicla Hrota	7	0.002
Brontispa Longissima	7	0.002
Bubo Scandiacus	7	0.002
Bufo	7	0.002
Buteo	7	0.002
Buteo Rufinus	7	0.002
Butorides Virescens	7	0.002
Calandrella Brachydactyla	7	0.002
Calepitrimerus Vitis	7	0.002
Calidris Fuscicollis	7	0.002
Callosobruchus Chinensis	7	0.002
Camarhynchus Pauper	7	0.002
Campoletis Chlorideae	7	0.002
Cancer Magister	7	0.002
Cancer Pagurus	7	0.002
Canis Lupus Pallipes	7	0.002
Capra Ibex Ibex	7	0.002
Carabus Nemoralis	7	0.002
Caridina Nilotica	7	0.002
Carpiodes Carpio	7	0.002
Casmerodius Albus	7	0.002
Cebidae	7	0.002
Cephalopoda	7	0.002
Cercopithecus Aethiops	7	0.002
Cercopithecus Nictitans	7	0.002
Cervus Eldi	7	0.002
Cervus Eldi Hainanus	7	0.002
Cervus Nippon Yakushimae	7	0.002
Chaetomys Subspinosus	7	0.002
Chaetophractus Vellerosus	7	0.002
Chaetophractus Villosus	7	0.002
Chaetorellia Succinea	7	0.002
Chaetura Pelagica	7	0.002
Channidae	7	0.002
Charadrius Semipalmatus	7	0.002
Chasmistes Cujus	7	0.002
Chelon Labrosus	7	0.002
Chelydra Serpentina Serpentina	7	0.002
Chilodonella	7	0.002
Chilodonella Hexasticha	7	0.002
Chironomus Decorus	7	0.002
Chiroxiphia Caudata	7	0.002
